text,label
SINTO QUE E MELHOR MORRER ESTOU FELIZ,DEPRESSAO
POR QUE TENHO ALUCINACOES?,DROGAS
ESTOU ESTRESSADO DEVIDO A FALTA DE APOIO FINANCEIRO NA ESCOLA,DEPRESSAO
POR QUE A VIDA E IMPORTANTE?,SUICÍDIO
COMO EU PODERIA SER AJUDADO A PASSAR PELA DEPRESSAO?,DEPRESSAO
QUAIS SAO OS EFEITOS DA DEPRESSAO PARA A SAUDE,DEPRESSAO
POR QUE TUDO E TAO DIFICIL DE LIDAR NESTA VIDA,DEPRESSAO
ME SINTO EMOCIONALMENTE OPRIMIDO, DEPRESSAO
COMO ADMINISTRAR O CONSUMO DE ALCOOL?,ALCOOL
O CEU ESTA ABERTO PARA NOS QUE FUMAMOS BHANG?,DROGAS
COMO SOBREVIVER SEM DINHEIRO?,DEPRESSAO
COMO FAÇO PARA PARAR ISSO? O QUE EU FAÇO QUANDO A VIDA SE TORNA INSUPORTAVEL?,ALCOOL
"EU SEMPRE ESTIVE TRISTE, SOZINHO E SEMPRE DROGADO AGORA SEI COMO LIDAR COM OS ASPECTOS NEGATIVOS DA MINHA VIDA",DEPRESSAO
"EU ME SINTO VAZIO, DISTRAÍDO",DEPRESSAO
EXPERIMENTEI DEPRESSAO EM MEUS ESTUDOS,DEPRESSAO
SINTO QUE ESTOU SOZINHO NESTE MUNDO,DEPRESSAO
SINTO-ME PARA BAIXO E DESLOCADO,DEPRESSAO
O QUE DEVO FAZER PARA SAIR DA DEPRESSAO?,DEPRESSAO
COMO POSSO PARAR DE USAR ÁLCOOL?,ALCOOL
"SINTO-ME SEM ESPERANÇA, INDIGNO E INÚTIL ... COMO FAÇO PARA ENFRENTAR O ESTRESSE E FUGIR DO PASSADO?",DEPRESSAO
A MEDIAÇÃO AJUDA A PARAR O VÍCIO EM ERVAS DANINHAS?,DROGAS
"SINTO-ME MAL POR CAUSA DAS DIFICULDADES DA VIDA, TAMBÉM ME SINTO MAL POR NÃO TER NINGUÉM PARA CONTROLAR",DEPRESSAO
QUAIS SÃO OS EFEITOS DE FUMAR BHANG?DROGAS
"TRISTEZA, ÓDIO, AGORA O SENTIMENTO É FELICIDADE",DEPRESSAO
"OS SENTIMENTOS ERAM COMO SE TUDO ESTIVESSE DESMORONANDO, AGORA AS COISAS ESTÃO NO CONTROLE",DEPRESSAO
COMO FAÇO PARA LIDAR COM UMA SITUAÇÃO DIFÍCIL? O QUE FAREI PARA EVITÁ-LA?,DEPRESSAO
DETERIORAÇÃO DO DESEMPENHO ACADÊMICO,DEPRESSAO
EFEITO DO ÁLCOOL NA SOCIEDADE E NO MEU CORPO,ALCOOL
COMO EU PODERIA PARAR DE USAR BHANG,DROGAS
COMO EVITAR O USO DE DROGAS?,DROGAS
COMO VOU PARAR? O QUE SIGNIFICA VÍCIO.,ALCOOL
SINTO-ME REJEITADO,DEPRESSAO
É CERTO QUE UMA PESSOA DEPRIMIDA USE DROGAS,DEPRESSAO
EU SÓ PAREI DE TOMAR ÁLCOOL PORQUE PENSEI QUE NÃO ERA BOM PARA MIM,ALCOOL
COMO FAÇO PARA BUSCAR AJUDA EM ALCOOLISMO,ALCOOL
ESTOU MUITO ESTRESSADO,DEPRESSAO
PRINCIPAIS DESAFIOS DA DEPRESSAO E SEUS EFEITOS COLATERAIS PARA MINHA SAÚDE,DEPRESSAO
SENTE-SE CONFUSO E DESAMPARADO E FOI EMPURRADO PARA O CANTO SENTINDO-SE UM POUCO MELHOR,DEPRESSAO
COMO EVITAR MÁS COMPANHIAS?,DROGAS
COMO EVITAR A DEPRESSAO NO CAMPUS,DEPRESSAO
CAUSAS DE SUICÍDIO DE JOVENS,SUICIDIO
QUAIS SÃO OS EFEITOS DO ALCOOL?,ALCOOL
"SINTO-ME MUITO DEPRIMIDO, COMO FAÇO PARA SUPERAR ISSO?",DEPRESSAO
EU ME SINTO DOLORIDO E INDESEJADO,DEPRESSAO
O QUE POSSO FAZER PARA MUDAR A SITUAÇÃO?,DEPRESSAO
O QUE FAZER PARA RESISTIR AO SENTIMENTO RUIM?,DEPRESSAO
"MUITO TRABALHO DE CLASSE E COMO FAÇO PARA LIDAR COM MUITAS RESPONSABILIDADES",DEPRESSAO
COMO POSSO PARAR O ALCOOL,ALCOOL
"ESTOU ENFRENTANDO MUITOS DESAFIOS NA VIDA FINANCEIRA, EMOCIONAL, PSICOLÓGICA E SEM SOLUÇÕES ... COMO POSSO PROCURAR SOLUÇÕES PARA A DEPRESSAO NO GOOGLE COM SEGURANÇA",DEPRESSAO
